name,url,address,location,city,cuisines,average_cost,rating,votes,online_order,book_table,rest_type,dish_liked,menu_item,listed_in_type
Biergarten,,"2, Doddanekkundi, Whitefield Road, Mahadevpura, Whitefield, Bangalore",Whitefield,Whitefield,"Continental, European, BBQ, Chinese, Asian",2400.0,4.7,7064,False,True,"Microbrewery, Pub","Wheat Beer, Risotto, Craft Beer, Caesar Salad, Pizza, Hefeweizen, Cheesy Garlic Bread",,Dine-out
Vapour Pub & Brewery,,"773, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"North Indian, Continental, Chinese",1400.0,4.2,6998,False,True,"Microbrewery, Pub","Pesto Pasta, Craft Beer, Wheat Beer, Cocktails, Crispy Chilli Corn, Butter Chicken, Paneer Tikka",,Dine-out
Empire Restaurant,,"103, Industrial Area, 5th Block, Near Jyothi Nivas College",Koramangala 5th Block,Koramangala 6th Block,"North Indian, Mughlai, South Indian, Chinese",750.0,4.1,6959,True,False,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma",,Dine-out
TBC Sky Lounge,,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",HSR,HSR,"Continental, Asian, Italian, North Indian",1000.0,4.7,6745,False,True,"Casual Dining, Bar","Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food",,Pubs and bars
AB's - Absolute Barbecues,,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",BTM,Koramangala 7th Block,"European, Mediterranean, North Indian, BBQ",1600.0,4.9,6490,False,True,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema",,Dine-out
Chili's American Grill & Bar,,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore",Malleshwaram,Rajajinagar,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,4.8,6470,True,True,"Casual Dining, Bar","Veg Platter, Burgers, Mushroom Soup, Cocktails, Nachos, Lemon Margarita, Chicken Fajita",,Pubs and bars
Fenny's Lounge And Kitchen,,"115, 3rd Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",1600.0,4.5,6385,False,True,"Bar, Casual Dining","Caramel Pudding, Cocktails, Pizza, Mocktails, Wedges, Bbq Chicken, Veg Starter",,Dine-out
Windmills Craftworks,,"331, Road 5B, EPIP Area, Next to KTPO, Whitefield, Bangalore",Whitefield,Whitefield,"American, North Indian, Salad",2500.0,4.6,5954,False,False,"Microbrewery, Pub","Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos",,Drinks & nightlife
Brew and Barbeque - A Microbrewery Pub,,"36/4, Fourth Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Continental, North Indian, BBQ, Steak",1400.0,4.6,5913,True,True,"Microbrewery, Pub","Craft Beer, Bbq Platter, Cocktails, Nachos, Pizza, Cosmopolitan, Wheat Beer",,Drinks & nightlife
Smoke House Deli,,"1209, 100 Feet Road, Opposite Apollo Clinic, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,4.6,5448,True,True,Casual Dining,"Cappuccino, Pasta, Cucumber Spritzer, Cocktails, Murgh Platter, Mocktails, Burgers",,Dine-out
Glen's Bakehouse,,"297, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"Bakery, Cafe, Italian, Desserts",600.0,4.3,5352,True,False,"Bakery, Cafe","Coffee, Pizza, Cheesecake, Pasta, Potato Salad, Sandwiches, Chicken Pot Pie",,Delivery
Hard Rock Cafe,,"40, Opposite LIC Building, Off MG Road, St. Marks Road, Bangalore",St. Marks Road,Residency Road,"American, BBQ",2500.0,4.5,5294,False,True,"Casual Dining, Bar","Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails",,Drinks & nightlife
Empire Restaurant,,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Jayanagar,Basavanagudi,"North Indian, Mughlai, South Indian, Chinese",750.0,4.4,5060,True,False,Casual Dining,"Chicken Grill, Ghee Rice, Butter Chicken, Shawarma, Mutton Shaadi Ki Biryani, Chicken Tikka Masala, Mutton Keema Dosa",,Dine-out
The Boozy Griffin,,"2nd Floor, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"European, Continental",1800.0,4.6,5024,False,True,"Casual Dining, Pub","Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges",,Pubs and bars
Chili's American Grill & Bar,,"20, Ground Floor, Phoenix Market City, Whitefield, Bangalore",Whitefield,Whitefield,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,4.6,4957,True,False,Casual Dining,"Tex Mex, Burgers, Chaap, Cocktails, Chaat, Mushroom Soup, Pork Ribs",,Dine-out
Onesta,,"215, 216 & 220, Devasandra Village, Kasaba Hobli, New BEL Road, Bangalore",New BEL Road,New BEL Road,"Pizza, Cafe, Italian",600.0,4.4,4897,True,True,"Casual Dining, Cafe","Oreo Delight, Apple Pie, Barbeque Chicken, Bbq Chicken, Stuffed Pizza, Ravioli, Mojito",,Dine-out
Chianti,,"12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,Italian,1500.0,4.7,4872,False,True,Casual Dining,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas",,Dine-out
Hammered,,"18, Ali Askar Road, Cunningham Road, Bangalore",Cunningham Road,Residency Road,"North Indian, Thai, Japanese, Continental, Cafe",1300.0,4.7,4845,True,True,"Pub, Cafe","Sangria, Chicken Satay, Crispy Corn, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails",,Drinks & nightlife
High Ultra Lounge,,"26/1 , 31st Floor, Dr. Rajkumar Road, World Trade Centre, Brigade Gateway Campus, Malleshwaram, Bangalore",Malleshwaram,Rajajinagar,"Japanese, Thai, Chinese, Korean",2600.0,4.1,4781,False,True,"Lounge, Casual Dining","Cocktails, Salmon Sushi, Jumbo Prawns, Chocolate Cake, Mocktails, Pad Thai Noodle, Sushi Platter",,Drinks & nightlife
Chutney Chang,,"HM Eleganza, 31, Museum Road, Off MG Road, Church Street, Bangalore",Church Street,MG Road,"North Indian, Chinese, BBQ",1500.0,4.2,4752,True,True,Casual Dining,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry",,Dine-out
Koramangala Social,,"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"American, North Indian, Chinese, Finger Food",1500.0,4.6,4714,True,False,Lounge,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha",,Dine-out
Onesta,,"501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"Pizza, Cafe, Italian",600.0,4.3,4709,True,True,"Casual Dining, Cafe","Bbq Pizza, Choux Pastry, Bbq Chicken, Tiramisu, Barbeque Chicken, Chicken Calzone, Pasta",,Delivery
The Boozy Griffin,,"20/7, 4th & 5th Floor, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Marathahalli,"European, Continental",1800.0,4.8,4705,False,True,Pub,"Singapore Sling, Sea Food Platter, Cocktails, Long Island Iced Tea, Vanilla Ice Cream, Martini, Ghee Rice",,Drinks & nightlife
Barleyz,,"2/3, Above Pantaloons, Sony World Junction, 80 Feet Road, Koramangala 6th Block, Bangalore",Koramangala 6th Block,Koramangala 7th Block,"North Indian, Continental, Chinese",2000.0,3.8,4660,False,False,"Lounge, Microbrewery","Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea",,Drinks & nightlife
The 13th Floor,,"Barton Centre, 84, MG Road, Bangalore",MG Road,Residency Road,"Asian, North Indian, Thai",1700.0,4.4,4616,False,True,Lounge,"Cocktails, Lasagne, Mocktails, Martini, Mutton Pepper, Long Island Iced Tea, Mojito",,Drinks & nightlife
Meghana Foods,,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Jayanagar,Basavanagudi,"Biryani, Andhra, North Indian, Seafood",600.0,4.5,4569,True,False,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Vegetable Biryani, Raita, Chicken Kebab, Lemon Chicken",,Dine-out
House Of Commons,,"122/B, Jyothi Nivas Road, 5th Block, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Continental, Asian, North Indian",1000.0,4.7,4470,False,True,Bar,"Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini",,Pubs and bars
Vidyarthi Bhavan,,"32, Gandhi Bazaar, Near Gandhi Bazaar Circle, Basavanagudi, Bangalore",Basavanagudi,Banashankari,South Indian,150.0,4.4,4460,False,False,Quick Bites,"Filter Kaapi, Filter Coffee, Khara Bhath, Maddur Vada, Crispy Masala Dosa, Kesari Bath, Ghee Masala Dosa",,Dine-out
Chianti,,"960, Next To Gold Gym,12thMain, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Old Airport Road,Italian,1500.0,4.6,4453,False,True,Casual Dining,"Pasta, Pizza, Salads, Tiramisu, Wine, Sangria, Bruschettas",,Dine-out
Plan B,,"20, Castle Street, Ashok Nagar, Brigade Road, Bangalore",Brigade Road,Residency Road,"American, Continental, BBQ, Steak",1200.0,4.1,4448,False,False,"Casual Dining, Pub","Burgers, Beer, Veg Lasagna, Peri Peri Chicken Wings, Barbecue Wings, Sandwiches, Beef Steak",,Dine-out
Onesta,,"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",JP Nagar,Jayanagar,"Pizza, Cafe, Italian",600.0,4.3,4421,True,True,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza",,Dine-out
CTR,,"7th Cross, Margosa Road, Malleshwaram, Bangalore",Malleshwaram,Rajajinagar,South Indian,150.0,4.8,4421,True,False,Quick Bites,"Benne Masala Dosa, Filter Coffee, Chai, Butter Masala Dosa, Crispy Vada, Tea, Kesari Bath",,Dine-out
Brewsky,,"55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore",JP Nagar,Jayanagar,"Continental, American",1600.0,4.3,4325,True,True,Microbrewery,"Pork Chops, Craft Beer, Chicken Biryani, Chowmein, Cocktails, Mocktails, Drunken Chicken Wings",,Dine-out
The Black Rabbit,,"770, Escape Hotel & Spa, 12th Main, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"Continental, Finger Food",1500.0,4.3,4239,False,True,"Bar, Casual Dining","Burgers, Spicy Fries, Cosmopolitan, Cocktails, Peri Peri Chicken, Custard, Pepperoni Pizza",,Dine-out
The Fisherman's Wharf,,"26, Opposite Shubh Enclave, Ambalipura Village, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"Seafood, Goan, North Indian, Continental, Asian",1400.0,4.3,4139,True,True,"Casual Dining, Bar","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab",,Dine-out
Communiti,,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Residency Road,Residency Road,"Continental, BBQ, Salad",1500.0,4.6,4119,False,False,"Microbrewery, Casual Dining","Pizza, Cocktails, Peri Peri Chicken, Craft Beer, Mocktails, Nachos, Pasta",,Dine-out
Sotally Tober,,"769, 80 Feet Road, Koramangala 4th Block, Bangalore",Koramangala 4th Block,Koramangala 7th Block,"Asian, Burger, Pizza, Chinese, Finger Food",1200.0,4.4,4096,False,True,"Bar, Casual Dining","Cocktails, Barbeque Chicken Pizza, Nachos, Chocolate Martini, Bbq Chicken Pizza, Wedges, Beer",,Drinks & nightlife
Brooks and Bonds Brewery,,"4, 100 Feet Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food",1600.0,4.5,3996,True,True,"Casual Dining, Microbrewery","Beef Chilli, Salad, Cocktails, Pizza, Craft Beer, Mango Cider, Potato Wedges",,Dine-out
The London Curry House - The Royale Senate Hotel,,"19/2, Kumara Krupa Road, Off Race Course Road, Bangalore",Race Course Road,Malleshwaram,"Pizza, North Indian, Modern Indian",1300.0,4.5,3960,False,False,"Casual Dining, Bar","Soan Papdi, Mocktails, Panipuri, Kulfi, Cocktails, Misal Pav, Honey Chilli Potatoes",,Pubs and bars
The Globe Grub,,"2nd Floor, Soul Space Paradigm, Above Bata Showroom, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Continental, North Indian, Asian, Italian",1300.0,4.8,3932,False,True,Casual Dining,"Mutton Curry, Mutton Seekh, Brownie, Gol Gappe, Fish, Rabri, Chicken Curry",,Buffet
Gilly's Restobar,,"91, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Finger Food, Continental, North Indian",1000.0,4.5,3923,False,True,"Pub, Casual Dining","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari",,Pubs and bars
Truffles,,"84, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",New BEL Road,New BEL Road,"Cafe, American, Burger, Steak",900.0,4.7,3916,False,False,"Cafe, Casual Dining","Burgers, Pasta Arrabiata, Ferrero Rocher Milkshake, Veg Pattice, Pesto Pasta, Rolls, Salads",,Dine-out
Monkey Bar,,"610, Diagonally Opposite SBI Bank, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"American, Asian, European, North Indian",1400.0,4.3,3890,True,False,Pub,"Cocktails, Burgers, Nachos, Sandwiches, Butterfly Chicken, Pizza, Dabeli",,Dine-out
Three Dots & A Dash,,"840/1,100 Feet Road, Metro Pillar 56-57, Indiranagar, Bangalore",Indiranagar,Indiranagar,"European, Continental",1300.0,4.1,3864,False,True,"Casual Dining, Bar","Cocktails, Pork Dumplings, Pork Steak, Cosmopolitan, Pizza, Mocktails, Chicken Pasta",,Drinks & nightlife
Barbeque Nation,,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",JP Nagar,Jayanagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.8,3864,False,True,Casual Dining,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta",,Dine-out
Onesta,,"2318, 27th Main Road, 1st Sector, HSR, Bangalore",HSR,Sarjapur Road,"Pizza, Cafe, Italian",600.0,4.4,3859,True,True,"Casual Dining, Cafe","Banana Smoothie, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli, Stuffed Chicken Pizza",,Delivery
Dyu Art Cafe,,"23, Near Mangala Kalyana Mantapa, MIG, KHB Colony, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Cafe, Italian, Fast Food",800.0,4.5,3854,False,False,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie",,Dine-out
Empire Restaurant,,"169/A/170, Opposite Shoba Super Market, Sector 6, HSR Layout, HSR, Bangalore",HSR,HSR,"North Indian, Mughlai, South Indian, Chinese",750.0,3.9,3833,True,False,Casual Dining,"Mutton Varuval, Brain Fry, Chicken Grill, Ghee Rice, Jumbo Shawarma, Mutton Raan Biriyani, Butter Chicken",,Dine-out
The Fatty Bao - Asian Gastro Bar,,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"Japanese, Sushi, Asian",1200.0,4.6,3823,True,False,"Casual Dining, Bar","Ramen, Cocktails, Crab Sushi, Maki Roll, Creme Brulee, Thai Chicken Salad, Beef Salad",,Dine-out
Soda Bottle Opener Wala,,"25/4, Opposite Harley Davidson Showroom, Lavelle Road, Bangalore",Lavelle Road,Residency Road,"Parsi, North Indian",1300.0,4.4,3730,True,True,"Casual Dining, Irani Cafee","Okra, Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Kulfi",,Drinks & nightlife
Tim Tai,,"130, 1st Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 6th Block,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",1400.0,4.4,3677,True,True,Casual Dining,"Noodles, Rice Paper Rolls, Prawn Dumplings, Vegetable Dimsums, Prawn Dim Sums, Rendang Chicken, Pad Thai",,Dine-out
LOFT38,,"763, Near Sony World, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"Italian, BBQ, Asian, Fast Food",1900.0,4.3,3659,False,True,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea",,Dine-out
Barbeque Nation,,"86, 1st Cross, Koramangala 1st Block, Bangalore",Koramangala 1st Block,Koramangala 6th Block,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.7,3632,False,True,Casual Dining,"Cocktails, Mutton Seekh, Tangdi Chicken, Mango Ice Cream, Biryani, Malai Kulfi, Fish",,Dine-out
Kota Kachori,,"635, 100 Feet Road, Koramangala 6th Block, Bangalore",Koramangala 6th Block,Koramangala 7th Block,"Street Food, Desserts, North Indian, Mithai, Rajasthani",400.0,4.3,3624,True,False,Quick Bites,"Pyaz Kachori, Chaat, Gajar Ka Halwa, Shrikhand, Jalebi Rabri, Churma, Boondi Raita",,Dine-out
Truffles,,"22, St. Marks Road, Bangalore",St. Marks Road,Brigade Road,"Cafe, American, Burger, Steak",900.0,4.5,3614,False,False,Cafe,"Burgers, Pasta, Cheese Burger, Potato Mash, Mocktails, Ferrero Rocher Milkshake, Peri Chicken",,Dine-out
Smally's Resto Cafe,,"46, Church Street, Bangalore",Church Street,Residency Road,"Cafe, Italian, Burger, American, Steak",650.0,4.2,3581,True,False,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger",,Delivery
House Of Commons,,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore",HSR,HSR,"Continental, Asian, North Indian",1000.0,4.7,3573,False,True,Bar,"Spaghetti, Ghee Roast Mutton, Draft Beer, Pinacolada, Pizza, Cocktails, Craft Beer",,Drinks & nightlife
The Biere Club,,"20/2, Vittal Mallya Road, Lavelle Road, Bangalore",Lavelle Road,Residency Road,"Continental, BBQ, Finger Food",1700.0,4.3,3498,True,True,"Pub, Microbrewery","Wheat Beer, Pizza, Cocktails, Virgin Sangria, Pork Chops, Meatballs, Craft Beer",,Dine-out
Jalsa Gold,,"20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore",Marathahalli,Marathahalli,"North Indian, Mughlai, Italian",1300.0,4.5,3486,False,True,Casual Dining,"Phirni, Butter Chicken, Cocktails, Kadhai Paneer, Chicken Curry, Cucumber Juice, Rabri",,Buffet
Sultans of Spice,,"BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"North Indian, Mughlai, Salad",1300.0,4.5,3473,True,True,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh",,Dine-out
Gramin,,"20, Ground Floor, Raheja Arcade, Koramangala, Koramangala 7th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,North Indian,600.0,4.3,3468,True,False,Casual Dining,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",,Dine-out
Delhi Highway,,"951, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"North Indian, Mughlai",1500.0,4.4,3439,True,True,Casual Dining,"Kheer, Dum Aloo Kashmiri, Lunch Thali, Dahipuri, Tandoori Mushrooms, Chaat, Lassi",,Dine-out
Meghana Foods Grand,,"90/4, Above Sony Centre, Opposite Park Plaza, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Biryani, Andhra, North Indian, Seafood",600.0,4.2,3367,True,False,Casual Dining,"Andhra Thali, Veg Thali, Lollipop Biryani, Chicken Boneless Biryani, Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani",,Dine-out
Little Italy,,"2017, Near Reebok Showroom, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"Italian, Pizza, Mexican",1400.0,4.2,3307,True,True,Casual Dining,"Pasta, Macaroni, Caesar Salad, Wood Fire Pizza, Ravioli, Chocolate Bomb, Cocktails",,Dine-out
Empire Restaurant,,"36, Off MG Road, Church Street, Bangalore",Church Street,Residency Road,"North Indian, Mughlai, South Indian, Chinese",750.0,4.0,3286,True,False,Casual Dining,"Paneer Tikka, Bheja Fry, Ghee Rice, Jumbo Shawarma, Brain Fry, Raita, Biryani",,Buffet
